0,svendidos,0,0,0.000000,0.000000
4,Tye,0,89,80270.000000,16054.000000
5,Boniface,0,170,41265.179688,8253.036133
7,Rozele,0,44,61985.339844,12397.068359
10,Kristel,0,18,809.919983,161.983994
11,Prentiss,0,5,60207.738281,12041.547852
13,Cyrus,0,105,25566.150391,5113.229980
14,Shane,0,148,45107.101562,9021.419922
16,Kahlil,0,69,78577.500000,15715.500000
19,Robbie,0,56,64195.191406,12839.038086
21,Kissie,0,160,90198.390625,18039.677734
23,Saree,0,36,9469.250000,1893.849976
24,Patrick,0,74,79986.289062,15997.257812
26,Issi,0,132,70932.851562,14186.570312
27,Claus,0,90,23969.419922,4793.883789
29,Olivette,0,124,82974.632812,16594.925781
38,Tore,0,12,91175.718750,18235.144531
39,Bernette,0,52,89869.367188,17973.873047
41,Jase,0,111,15799.730469,3159.946045
42,Binnie,0,139,36845.671875,7369.134277
48,Jerrilee,0,105,2590.340088,518.067993
54,Gwenette,0,199,78582.476562,15716.495117
56,Michaela,0,186,72293.132812,14458.626953
57,Edith,0,152,77183.601562,15436.720703
60,Calypso,0,83,35722.429688,7144.485840
61,Zitella,0,27,86391.421875,17278.285156
62,Reynolds,0,133,59499.179688,11899.835938
67,Delphinia,0,90,85093.671875,17018.734375
70,Esther,0,138,71893.296875,14378.659180
71,Zack,0,102,95865.750000,19173.150391
73,Wallis,0,57,1397.410034,279.481995
76,Mair,0,181,4288.459961,857.692017
79,Ethelred,0,194,84490.312500,16898.062500
80,Rosamond,0,113,1831.430054,366.286011
82,Christi,0,128,41341.808594,8268.361328
83,Katey,0,129,8094.100098,1618.820068
84,Peggie,0,124,80982.320312,16196.463867
85,Arnie,0,118,91699.390625,18339.878906
86,Tobi,0,157,21663.429688,4332.686035
87,Lisabeth,0,121,32718.400391,6543.680176
92,Greta,0,126,57318.851562,11463.770508
94,Babara,0,179,3174.360107,634.872009
95,Silvanus,0,194,89301.460938,17860.292969
98,Ronna,0,81,57459.171875,11491.833984
99,Clovis,0,80,26278.220703,5255.644043
