1,Fedora,2,117,43136.988281,2156.849365
2,Blanca,2,152,20984.769531,1049.238525
6,Kyle,2,183,87481.398438,4374.069824
8,Vanya,2,174,85760.898438,4288.044922
9,Amber,2,32,24527.980469,858.479309
12,Cornelius,2,136,53530.671875,2676.533691
15,Corry,2,126,21861.109375,1093.055420
17,Jo-anne,2,141,28564.960938,1428.248047
18,Barn,2,17,81857.726562,2865.020508
22,Desiree,2,83,79516.359375,2783.072510
25,Caresse,2,156,44196.378906,2209.818848
32,Valentine,2,163,65507.710938,3275.385498
34,Ellyn,2,164,44071.210938,2203.560547
35,Ola,2,115,11798.950195,589.947510
45,Polly,2,96,90896.609375,3181.381348
46,Harrietta,2,118,10843.240234,542.161987
47,Georgeanna,2,51,35087.628906,1228.067017
51,Florina,2,44,97451.000000,3410.784912
52,Faustina,2,62,99187.039062,3471.546387
53,Bent,2,176,93415.507812,4670.775391
58,Remus,2,53,25826.289062,903.920105
65,Milicent,2,184,66967.031250,3348.351562
69,Shayne,2,166,87181.023438,4359.051270
72,Esra,2,196,75835.906250,3791.795410
75,Taddeusz,2,63,97698.742188,3419.456055
77,Igor,2,15,27068.500000,947.397522
81,Mortimer,2,4,40181.621094,1406.356689
89,Delmore,2,7,56085.429688,1962.989990
90,Didi,2,137,84333.429688,4216.671387
93,Jennifer,2,174,77226.757812,3861.337891
96,Clarey,2,113,92482.046875,4624.102539
